campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	creative_id	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name	relevance_score
23842735532680616	EliAds_fb_FM_KR_3	23842743935040616	KR_MF_20170619_1341_iOS_KRMF5_pink_MB_Oi_flower_2	23842743935140616	flower_2	6.7	2	10	7	392			392	2		358	2	3	3	3.35	0.67	0.957143	1494	4.484605	1462	32	0.209375	2.141901	32	0.209375	2.188782	30	25	2017-06-27	2017-06-27	00:03:18	599	580	0.029911	224	125	307	224	155	134	92			23842743935050616	150	IMPRESSIONS	APP_INSTALLS	15000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			8
23842735532680616	EliAds_fb_FM_KR_3	23842743933890616	KR_MF_20170619_1322_iOS_KRMF5_pink_MB_Oi_black_1	23842743933990616	black_1	0.41				27			27			24							108	3.796296	104	3	0.136667	2.777778	3	0.136667	2.884615	3	2	2017-06-27	2017-06-27	00:03:18	51	49	0.034167	12	6	16	13	7	7	4			23842743933900616	140	IMPRESSIONS	APP_INSTALLS	15000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			
23842735532680616	EliAds_fb_FM_KR_3	23842741006860616	KR_MF_170604_0755_iOS_KRMF5_fatFaces_MB_Oi_Cim	23842741006880616	20170603_1V_fatBoyFace	1.52		14	7	106			106			101		2	2		0.108571	0.217143	261	5.823755	260	5	0.304	1.915709	5	0.304	1.923077	7	4	2017-06-27	2017-06-27	00:03:19	1	1	0.026667	57	33	90	70	57	45	22			23842741007580616	130	IMPRESSIONS	APP_INSTALLS	10000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			
23842735532680616	EliAds_fb_FM_KR_3	23842741006860616	KR_MF_170604_0755_iOS_KRMF5_fatFaces_MB_Oi_Cim	23842741006870616	20170603_1V_fatGirlFace	2.84	2	6	6	150			150	1		127	2	3	3	1.42	0.473333	0.473333	601	4.725458	592	22	0.129091	3.660566	20	0.142	3.378378	24	22	2017-06-27	2017-06-27	00:03:19	15	15	0.052593	54	36	88	54	42	40	27			23842741007730616	130	IMPRESSIONS	APP_INSTALLS	10000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			9
23842735532680616	EliAds_fb_FM_KR_3	23842743017300616	KR_MF_170613_2120_iOS_KRMF5_magic_MB_Oi_Cim	23842743018000616	201706013_combine	2.14	1	1	1	187			187	1		176	1	1	1	2.14	2.14	2.14	578	3.702422	567	10	0.214	1.730104	10	0.214	1.763668	10	10	2017-06-27	2017-06-27	00:03:20	278	269	0.028158	76	39	148	83	63	36	22			23842743018160616	130	IMPRESSIONS	APP_INSTALLS	15000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			9
23842735532680616	EliAds_fb_FM_KR_3	23842743017300616	KR_MF_170613_2120_iOS_KRMF5_magic_MB_Oi_Cim	23842743017310616	201706013_magic	0.92	1	2	2	110			110	1		108	1	1	1	0.92	0.46	0.46	202	4.554455	201	1	0.92	0.49505	1	0.92	0.497512	1	0	2017-06-27	2017-06-27	00:03:20	48	48	0.012105	76	76	116	102	93	79	73			23842743018350616	130	IMPRESSIONS	APP_INSTALLS	15000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			
23842719941570616	EliAds_fb_Male_RU_2	23842719953010616	EliAds_RU_M_70427_1900_MB_13-44_FI_Ll10RUM1d90_Oi_Ci	23842741684510616	RU_F_20170607_streetFight	1.4	4	4	4	761	2		761	25		705	4	4	4	0.35	0.35	0.35	2008	0.697211	2007	29	0.048276	1.444223	29	0.048276	1.444943	0	0	2017-06-27	2017-06-27	00:03:21	1	1	0.002899	483	207	690	532	489	231	187			23842741684950616	75	APP_INSTALLS	APP_INSTALLS	100000	13	44	1	23842705126100616	"Lookalike (RU, 10%) - RUM1d90"			7
23842719941570616	EliAds_fb_Male_RU_2	23842719953010616	EliAds_RU_M_70427_1900_MB_13-44_FI_Ll10RUM1d90_Oi_Ci	23842726388060616	"RU_F_20170505_oneGirl - Copy"	0.67	1	2	2	21			21			20	1	1	1	0.67	0.335	0.335	102	6.568627	102	1	0.67	0.980392	1	0.67	0.980392	0	0	2017-06-27	2017-06-27	00:03:22	0	0	0.08375	8	1	15	9	8	2	1			23842726391360616	75	APP_INSTALLS	APP_INSTALLS	100000	13	44	1	23842705126100616	"Lookalike (RU, 10%) - RUM1d90"			
23842719941570616	EliAds_fb_Male_RU_2	23842719953010616	EliAds_RU_M_70427_1900_MB_13-44_FI_Ll10RUM1d90_Oi_Ci	23842719953030616	RU_F_20170419_1V_Video13_girlsinging	3.49	6	7	7	218	1	1	218	11		196	6	6	6	0.581667	0.498571	0.498571	743	4.697174	739	9	0.387778	1.211306	9	0.387778	1.217862	0	0	2017-06-27	2017-06-27	00:03:23	0	0	0.0349	100	50	171	113	90	58	35			23842719955260616	75	APP_INSTALLS	APP_INSTALLS	100000	13	44	1	23842705126100616	"Lookalike (RU, 10%) - RUM1d90"			8
23842735532680616	EliAds_fb_FM_KR_3	23842740654200616	KR_MF_170602_1630_iOS_KRMF5_MB_Oi_Ci	23842740654250616	20170525_1V_singing	20.87	14	49	38	1501			1499	4		1255	14	17	17	1.490714	0.425918	0.549211	6719	3.106117	6506	240	0.086958	3.57196	233	0.089571	3.58131	246	235	2017-06-27	2017-06-27	00:03:24	2992	2874	0.049809	419	149	718	362	222	151	112			23842740655830616	175	APP_INSTALLS	APP_INSTALLS	20000	13	45		23842738702010616	"Lookalike (KR, 10%) - KRMF5"			8
