campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched	bid_amount	bill_event	optimization_goal	daily_budget	age_min	age_max	gender	custom_audience_id	custom_audience_name	interest_id	interest_name
23842591179420762	EliAds_fb_M_ID_TG_bf	23842592421890762	ID_M_20170627_1250_MB_LL10DT7m_Oi_Cim_glasses			287.26	393	630	630	73883	12	39	73874	7780		64738	393	393	393	0.730941	0.455968	0.455968	353131	0.813466	343411	1305	0.220123	0.369551	1292	0.222337	0.376226	145	137	2017-06-28	2017-06-28	00:02:10	40782	37504	0.010089	28472	28472	101368	65481	50276	29859	26817			100	IMPRESSIONS	APP_INSTALLS	300000	13	29	1	23842585438780762;23842585438800762	"Lookalike (ID, 6%) - DT7m;Lookalike (ID, 6% to 10%) - DT7m"		
23842589465590762	EliAds_fb_FM_ID_bf	23842592421020762	ID_F_20170627_1245_MB_LL10DT8f_Oi_Cim_glasses			280.76	537	875	875	71381	4	5	71361	7572		62117	534	532	532	0.522831	0.320869	0.320869	356694	0.787117	340725	1663	0.168827	0.466226	1645	0.170675	0.482794	322	229	2017-06-28	2017-06-28	00:02:11	43592	42051	0.009967	28168	28168	95194	62736	48929	29580	26549			100	IMPRESSIONS	APP_INSTALLS	300000	13	29	2	23842585438830762;23842585438810762	"Lookalike (ID, 6% to 10%) - DT8f;Lookalike (ID, 6%) - DT8f"		
23842589465590762	EliAds_fb_FM_ID_bf	23842592395450762	ID_F_20170627_1001_MB_All_Oi_Cim_glasses			402.72	715	1178	1178	105842	19	13	105817	3814		99684	714	704	704	0.563245	0.341868	0.341868	460657	0.87423	433299	2287	0.176091	0.496465	2246	0.179305	0.518349	605	372	2017-06-28	2017-06-28	00:02:11	21405	19203	0.009257	43506	43506	163188	100749	73220	45704	40691			100	IMPRESSIONS	APP_INSTALLS	300000	13	65	2				
23842591179420762	EliAds_fb_M_ID_TG_bf	23842591974510762	ID_M_20170625_1700_MB_All_Oi_Cim_grepGril			938.4	989	1757	1757	117428	61	98	117370	5437		106945	987	987	987	0.948837	0.534092	0.534092	912692	1.028167	856150	4827	0.194406	0.528875	4628	0.202766	0.540559	2155	1491	2017-06-28	2017-06-28	00:02:12	142115	132202	0.018398	51005	36317	106381	70248	54495	38782	32804			100	IMPRESSIONS	APP_INSTALLS	200000	13	65	1				
23842589465590762	EliAds_fb_FM_ID_bf	23842591972450762	ID_MF_20170625_1640_MB_LL10DT7m8F_Oi_Cim_grepGril			2102.12	2574	4198	4198	295007	95	267	294751	47130		234288	2559	2526	2526	0.816674	0.500743	0.500743	2556029	0.822416	2502308	12943	0.162414	0.506371	12308	0.170793	0.491866	4457	3985	2017-06-28	2017-06-28	00:02:12	859288	837472	0.015727	133666	90094	233635	168103	140396	96050	81032			125	IMPRESSIONS	APP_INSTALLS	400000	13	34		23842585438800762;23842585438810762;23842585438830762;23842585438780762	"Lookalike (ID, 6% to 10%) - DT7m;Lookalike (ID, 6%) - DT8f;Lookalike (ID, 6% to 10%) - DT8f;Lookalike (ID, 6%) - DT7m"		
23842585474840762	EliAds_fb_FM_BR_bf	23842591964890762	EliAds_BR_MF_70625_1512_Ll10BXMF1_AB_Oi_Cim_boyGhost			50.7	403	959	953	20514	7	3	20498	136		19385	403	403	403	0.125806	0.052868	0.0532	49399	1.026337	48097	967	0.05243	1.95753	950	0.053368	1.975175	908	733	2017-06-28	2017-06-28	00:02:13	2771	2771	0.00478	10606	3784	15517	10976	6378	4138	2647			0	IMPRESSIONS	APP_INSTALLS	9000	13	65		23842585449260762;23842585449240762	"Lookalike (BR, 6% to 10%) - BXMF1;Lookalike (BR, 6%) - BXMF1"		
23842585474840762	EliAds_fb_FM_BR_bf	23842591963260762	EliAds_BR_MF_70625_1508_Ll10BXMF1_AB_Oi_Cim_blueMan			48.78	373	848	844	12718	29	16	12694	127		11623	373	373	373	0.130777	0.057524	0.057796	62895	0.775578	61372	899	0.05426	1.429366	875	0.055749	1.425732	797	629	2017-06-28	2017-06-28	00:02:14	2814	2814	0.008792	5548	4591	11654	7694	6065	4954	3865			0	IMPRESSIONS	APP_INSTALLS	9000	13	65		23842585449240762;23842585449260762	"Lookalike (BR, 6%) - BXMF1;Lookalike (BR, 6% to 10%) - BXMF1"		
23842589465590762	EliAds_fb_FM_ID_bf	23842591961350762	ID_F_20170625_1439_MB_All_Oi_Cim_grepGril			595.78	610	1116	1116	64006	64	41	63895	2960		56672	609	607	607	0.976689	0.533853	0.533853	696230	0.855723	676549	4158	0.143285	0.597216	4028	0.14791	0.595374	2482	1459	2017-06-28	2017-06-28	00:02:14	82376	77574	0.018567	32088	24835	56304	40802	33681	26099	22563			100	IMPRESSIONS	APP_INSTALLS	400000	13	65	2				
23842589465590762	EliAds_fb_FM_ID_bf	23842591704640762	ID_MF_20170623_2034_MB_LL10DT8f_Oi_Cim_scarf_comedy			3305.96	4172	6929	6929	468908	119	189	468577	58928		392512	4232	4182	4182	0.792416	0.477119	0.477119	4024763	0.821405	3568714	16798	0.196807	0.417366	16320	0.202571	0.457308	6320	5199	2017-06-28	2017-06-28	00:02:17	1239956	1156660	0.018888	175029	117663	386709	244948	184712	126158	106264			130	IMPRESSIONS	APP_INSTALLS	500000	13	65		23842585438780762;23842585438830762;23842585438810762;23842585438800762	"Lookalike (ID, 6%) - DT7m;Lookalike (ID, 6% to 10%) - DT8f;Lookalike (ID, 6%) - DT8f;Lookalike (ID, 6% to 10%) - DT7m"		
23842589465590762	EliAds_fb_FM_ID_bf	23842591696710762	ID_F_20170623_1640_MB_L10DT8f_Oi_Cim_free1GB			4.76	4	6	6	565			565	93		455	4	4	4	1.19	0.793333	0.793333	5283	0.901003	5217	17	0.28	0.321787	17	0.28	0.325858	0	0	2017-06-28	2017-06-28	00:02:18	63	63	0.031946	149	42	163	77	47	38	37			85	IMPRESSIONS	APP_INSTALLS	1000000	13	65		23842585438830762;23842585438780762;23842585438800762;23842585438810762	"Lookalike (ID, 6% to 10%) - DT8f;Lookalike (ID, 6%) - DT7m;Lookalike (ID, 6% to 10%) - DT7m;Lookalike (ID, 6%) - DT8f"		
23842589465590762	EliAds_fb_FM_ID_bf	23842591671340762	ID_MF_20170623_1640_MB_All_Oi_Cim_free1GB			0.01				2			2	1									28	0.357143	28	1	0.01	3.571429	1	0.01	3.571429	1	0	2017-06-28	2017-06-28	00:02:18	1	1											75	IMPRESSIONS	APP_INSTALLS	1000000	13	65	2				
23842589465590762	EliAds_fb_FM_ID_bf	23842591655270762	ID_F_20170623_1555_MB_All_Oi_Cim_combineStickers			0.05				4			4			4							61	0.819672	61	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:02:19	4	4	0.05	1		1							100	IMPRESSIONS	APP_INSTALLS	120000	13	45	2				
23842589465590762	EliAds_fb_FM_ID_bf	23842591643830762	ID_F_20170623_1441_MB_All_Oi_Cim_sleep_stickers			0																	8	0	8	0	0	0	0	0	0	0	0	2017-06-28	2017-06-28	00:02:19	2	2											75	IMPRESSIONS	APP_INSTALLS	120000	13	35	2				
