campaign_id	campaign_name	adset_id	adset_name	ad_id	ad_name	spend	result	mobile_app_actions	mobile_app_start	page_engagement	post_share	post_comment	post_engagement	post_like	clicks_to_play_video	3_second_video_view	unique_result	unique_mobile_app_actions	unique_mobile_app_start	cost_per_result	cost_mobile_app_actions	cost_per_mobile_app_start	impressions	cpm	reach	inline_link_clicks	cpc_link	inline_link_click_ctr	unique_inline_link_clicks	cost_per_unique_inline_link_click	unique_inline_link_click_ctr	app_store_clicks	button_clicks	date_start	date_stop	request_time	social_impressions	social_reach	cost_per_10_sec_video_view	10_second_video_views	30_second_video_views	video_watches_at_p25	video_watches_at_p50	video_watches_at_p75	video_watches_at_p95	video_watches_at_p100	video_average_watch_time	video_average_percentage_watched
23842559803430355	EliAds_UCNews_ID					0.31				22			22	4									612	0.506536	586	18	0.017222	2.941176	18	0.017222	3.071672	0	0	2017-06-29	2017-06-29	03:59:17	2	2										
23842605475190355	EliAds_UCNews_ID_3					0				1			1			1							9	0	9	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	04:29:13	0	0										
23842559803430355	EliAds_UCNews_ID					0.81				58			58	11									1657	0.488835	1522	47	0.017234	2.836451	47	0.017234	3.088042	0	0	2017-06-29	2017-06-29	04:29:15	2	2										
23842605475190355	EliAds_UCNews_ID_3					0				1			1			1							19	0	19	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	04:59:24	0	0										
23842559803430355	EliAds_UCNews_ID					1.25				75			75	11									2724	0.458884	2441	64	0.019531	2.349486	63	0.019841	2.580909	0	0	2017-06-29	2017-06-29	04:59:27	4	4										
23842605475190355	EliAds_UCNews_ID_3					0				4			4			4							30	0	30	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	05:31:18	0	0	0	1	1	1	1	1	1	1		
23842559803430355	EliAds_UCNews_ID					1.62				92		1	92	13									3585	0.451883	3197	78	0.020769	2.175732	77	0.021039	2.408508	0	0	2017-06-29	2017-06-29	05:31:27	4	4										
23842605475190355	EliAds_UCNews_ID_3					0				8			8			8							44	0	44	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	05:59:43	0	0	0	5	5	5	5	5	5	5		
23842559803430355	EliAds_UCNews_ID					2.36				128		1	128	16									4947	0.477057	4393	111	0.021261	2.243784	109	0.021651	2.48122	0	0	2017-06-29	2017-06-29	06:00:14	6	6										
23842605475190355	EliAds_UCNews_ID_3					0				11			11			11							60	0	60	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	06:29:15	0	0	0	6	6	8	6	6	6	6		
23842559803430355	EliAds_UCNews_ID					3.79				215		1	215	29									7135	0.531184	6387	185	0.020486	2.592852	179	0.021173	2.802568	0	3	2017-06-29	2017-06-29	06:29:18	11	10										
23842605475190355	EliAds_UCNews_ID_3					0				14			14			14							72	0	72	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	06:59:17	0	0	0	8	7	11	8	8	8	7		
23842559803430355	EliAds_UCNews_ID					5.93	1	1	1	369		1	369	55			1	1	1	5.93	5.93	5.93	10273	0.577241	9313	313	0.018946	3.046822	303	0.019571	3.253517	0	7	2017-06-29	2017-06-29	06:59:20	25	20										
23842605475190355	EliAds_UCNews_ID_3					0				21			21			21							84	0	84	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	07:29:13	0	0	0	12	10	17	11	11	11	10		
23842559803430355	EliAds_UCNews_ID					7.83	1	2	2	523		1	523	88			1	1	1	7.83	3.915	3.915	13280	0.589608	12080	434	0.018041	3.268072	420	0.018643	3.476821	0	12	2017-06-29	2017-06-29	07:29:16	39	36										
23842605475190355	EliAds_UCNews_ID_3					0.01				23			23			23							115	0.086957	115	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	08:00:54	0	0	0.000769	13	10	19	12	11	11	10		
23842559803430355	EliAds_UCNews_ID					11.81	1	2	2	802		3	802	165			1	1	1	11.81	5.905	5.905	18229	0.647869	16583	634	0.018628	3.477975	608	0.019424	3.666405	0	20	2017-06-29	2017-06-29	08:01:00	69	59										
23842605475190355	EliAds_UCNews_ID_3					0.03				29			29	1		28							143	0.20979	143	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	08:29:49	0	0	0.001875	16	12	23	15	13	13	12		
23842559803430355	EliAds_UCNews_ID					15.01	1	2	2	1076		3	1076	243			1	1	1	15.01	7.505	7.505	22619	0.663601	20517	830	0.018084	3.669481	799	0.018786	3.894332	0	23	2017-06-29	2017-06-29	08:29:51	85	65										
23842605475190355	EliAds_UCNews_ID_3					0.03				38			38	1		37							168	0.178571	167	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	08:59:12	0	0	0.001364	22	18	31	21	19	18	17		
23842559803430355	EliAds_UCNews_ID					17.54	1	2	2	1285		3	1285	336			1	1	1	17.54	8.77	8.77	26619	0.658928	24279	946	0.018541	3.553853	935	0.018759	3.851065	0	28	2017-06-29	2017-06-29	08:59:14	100	73										
23842605475190355	EliAds_UCNews_ID_3					0.03				40			40	1		39							180	0.166667	179	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	09:29:09	0	0	0.001304	23	18	33	22	19	18	17		
23842559803430355	EliAds_UCNews_ID					19.73	3	5	5	1557		3	1557	456			3	4	4	6.576667	3.946	3.946	30173	0.653896	27613	1098	0.017969	3.639015	1057	0.018666	3.827907	1	33	2017-06-29	2017-06-29	09:29:11	122	73										
23842605475190355	EliAds_UCNews_ID_3					0.06				44			44	1		43							217	0.276498	216	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	09:59:20	0	0	0.002308	26	20	36	25	22	20	19		
23842559803430355	EliAds_UCNews_ID					21.93	7	7	7	1737		3	1736	547			5	6	6	3.132857	3.132857	3.132857	34176	0.641678	31339	1186	0.018491	3.470272	1143	0.019186	3.647213	4	43	2017-06-29	2017-06-29	09:59:23	144	105										
23842605475190355	EliAds_UCNews_ID_3					0.06				46			46	1		45							241	0.248963	240	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	10:29:19	0	0	0.002143	28	21	38	27	23	21	20		
23842559803430355	EliAds_UCNews_ID					23.44	10	11	11	1924		3	1923	609			10	9	9	2.344	2.130909	2.130909	37126	0.631363	34052	1311	0.017879	3.531218	1264	0.018544	3.71197	5	44	2017-06-29	2017-06-29	10:29:22	153	127										
23842605475190355	EliAds_UCNews_ID_3					0.07				46			46	1		45							259	0.27027	258	0	0	0	0	0	0	0	0	2017-06-29	2017-06-29	11:00:03	0	0	0.0025	28	21	38	27	23	21	20		
