Media Source,Date,Campaign,Install Day,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30
facebook,2017/7/4,EliAds_and_SA_M_En,990,224,125,94,54,51,44,36,39,36,35,35,28,26,19,27,22,30,22,18,15,13,19,11,10,12,13,14,15,9,15
facebook,2017/7/3,EliAds_and_SA_M_En,985,268,119,100,78,41,37,33,35,43,30,26,20,19,22,18,23,23,21,20,18,10,16,17,20,16,13,11,13,10,14
facebook,2017/7/9,EliAds_and_SA_M_En,864,243,128,77,69,41,43,32,38,35,24,25,29,21,19,15,18,17,13,14,16,18,13,15,11,18,11,9,10,12,11
facebook,2017/7/8,EliAds_and_SA_M_En,741,217,120,87,56,37,34,25,33,23,19,25,16,13,16,17,12,13,14,12,13,10,11,9,7,7,7,10,12,6,7
facebook,2017/7/5,EliAds_and_SA_M_En,734,234,107,73,66,50,49,36,28,26,24,27,19,27,22,16,26,19,19,16,11,9,11,16,14,9,13,9,10,8,9
facebook,2017/7/3,EliAds_and_SA_0525_1,714,152,85,62,48,50,35,28,24,23,27,16,23,20,15,16,20,13,15,18,12,13,11,11,18,10,10,12,10,10,5
facebook,2017/7/21,EliAds_and_SA_M_En,686,149,83,45,39,28,36,32,24,17,19,22,19,21,17,15,14,10,13,10,8,9,12,5,11,8,13,9,7,8,8
facebook,2017/7/7,EliAds_and_SA_M_En,665,177,95,66,47,27,25,26,26,19,8,16,11,10,10,11,9,12,6,14,8,11,8,8,4,7,10,9,6,10,3
facebook,2017/7/19,EliAds_and_SA_M_En,643,154,77,49,30,29,20,24,26,15,19,25,16,15,9,19,11,16,13,8,15,6,10,9,7,9,7,6,6,6,5
facebook,2017/7/10,EliAds_and_SA_M_En,639,153,73,54,44,37,34,29,26,25,30,20,25,25,19,17,12,9,15,21,17,15,15,9,10,13,7,13,10,9,8
facebook,2017/7/20,EliAds_and_SA_M_En,625,141,62,54,45,38,25,20,16,12,16,11,9,11,14,8,10,8,6,2,5,11,6,7,8,4,5,5,3,5,3
facebook,2017/7/28,EliAds_and_SA_M_En,624,120,60,32,29,22,28,20,22,12,16,8,16,8,11,8,6,6,7,8,4,8,5,3,2,0,0,0,0,0,0
facebook,2017/7/6,EliAds_and_SA_M_En,574,173,81,64,40,32,22,16,16,12,17,17,9,12,10,8,8,5,8,11,9,9,13,9,6,6,7,9,9,8,6
facebook,2017/7/15,EliAds_and_SA_M_En,560,119,73,45,38,27,29,18,26,21,19,14,15,15,12,13,7,9,7,8,9,7,7,9,5,9,10,8,5,6,6
facebook,2017/7/2,EliAds_and_SA_M_Ar,549,116,48,48,35,38,23,27,18,21,14,14,14,9,7,10,12,8,7,9,6,4,9,6,1,1,4,5,3,2,3
facebook,2017/7/14,EliAds_and_SA_M_En,544,135,63,42,25,23,21,22,13,17,13,15,12,12,13,11,12,11,5,12,11,7,6,11,7,10,5,4,6,6,3
facebook,2017/7/18,EliAds_and_SA_M_En,476,121,59,44,38,19,27,17,17,18,17,10,11,10,14,7,8,11,10,6,5,5,7,6,4,2,5,3,4,2,4
facebook,2017/7/22,EliAds_and_SA_M_En,464,109,45,36,31,32,17,27,18,20,21,9,13,11,10,11,9,7,7,10,9,8,5,6,8,7,6,8,11,6,5
facebook,2017/7/23,EliAds_and_SA_M_En,463,119,60,44,31,22,17,10,17,11,10,11,8,9,8,10,9,8,8,5,8,8,6,7,6,4,8,5,9,4,0
facebook,2017/7/29,EliAds_and_SA_M_En,445,108,54,33,27,30,21,14,20,16,8,10,10,11,11,11,11,10,9,9,8,7,8,6,0,0,0,0,0,0,0
facebook,2017/7/25,EliAds_and_SA_M_En,411,111,39,40,35,21,23,8,18,15,11,12,6,9,7,5,4,4,4,8,4,10,4,6,7,6,3,1,0,0,0
facebook,2017/7/24,EliAds_and_SA_M_En,400,103,49,46,32,23,27,16,20,11,15,16,9,10,10,10,9,9,10,7,9,8,8,8,4,8,8,9,10,0,0
facebook,2017/7/27,EliAds_and_SA_M_En,381,99,43,21,15,15,17,13,10,10,8,6,10,6,10,5,7,7,3,2,4,4,12,6,6,3,0,0,0,0,0
facebook,2017/7/17,EliAds_and_SA_M_En,376,96,49,35,24,19,16,15,14,13,9,6,9,10,9,12,10,10,8,4,8,9,5,8,8,5,3,4,5,2,2
facebook,2017/7/11,EliAds_and_SA_M_En,375,101,54,20,22,21,20,17,15,8,11,11,13,14,13,10,4,9,8,7,6,7,8,5,7,6,5,7,3,6,4
facebook,2017/7/26,EliAds_and_SA_M_En,369,73,44,29,20,14,17,17,16,10,11,6,8,8,9,8,8,6,7,2,7,4,4,2,1,4,3,0,0,0,0
facebook,2017/7/5,EliAds_and_SA_0614_test,364,86,40,29,21,14,18,13,8,6,10,5,7,3,6,6,3,9,3,3,3,4,5,4,4,4,6,0,2,3,4
facebook,2017/7/7,EliAds_and_SA_0614_test,358,71,33,22,14,18,16,13,6,5,7,8,10,10,9,10,3,5,6,4,8,6,6,4,8,9,4,1,7,2,8
facebook,2017/7/16,EliAds_and_SA_M_En,352,90,39,35,30,21,18,18,10,12,14,8,9,5,5,5,6,8,5,8,2,1,6,4,6,3,3,3,1,2,4
